GRIN Accession	Protein	GRIN Link
FC31744	46.0;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102536	
FC31745	41.7;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102538	
FC31750	43.5;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102545	
FC31918	46.2;47.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102649	
FC31919	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102650	
FC31921	45.3;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102651	
FC31927	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102652	
FC31933	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102654	
FC31934	45.8;48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102655	
FC31935	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102656	
FC31943	48.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102663	
FC31946	41.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102667	
FC31952	44.3;44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102673	
FC32033	41.3;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102724	
FC32141	43.9;44.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102859	
FC32175	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102920	
FC32176	40.2;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102921	
FC33123	41.8;42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1103891	
FC33243-1		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1703920	
FC33243-2		https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1703922	
FC33243	39.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1103892	
FC3548	40	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1025137	
FC3609	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1025313	
FC3654-1	42.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485735	
FC3654N	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485736	
FC3659	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1025427	
FC3981	42.3;44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1026428	
FC4002B	40.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485737	
FC4002N	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485738	
FC4007A	40	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485739	
