GRIN Accession	Protein	GRIN Link
PI424159B	44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486884	
PI424159C	45.6;46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486883	
PI424160	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319431	
PI424161	48.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319432	
PI424162	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319433	
PI424163	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319434	
PI424164A	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486886	
PI424164B	43	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486887	
PI424165	42.9;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319436	
PI424166	48.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319437	
PI424167	44.6;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319438	
PI424168A	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486888	
PI424168B	44.9;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486890	
PI424168C	42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486889	
PI424169A	43.1;43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486892	
PI424169B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486891	
PI424170	48.3;48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319441	
PI424171A	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486894	
PI424171B	44.6;47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486893	
PI424172A	45.1;45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486895	
PI424172B	51	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486897	
PI424172C	44.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486896	
PI424173	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319444	
PI424174	47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319445	
PI424175	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319446	
PI424176	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319447	
PI424177	45.2;45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319448	
PI424178A	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486900	
PI424178B	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486899	
PI424178C	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486898	
PI424179A	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486902	
PI424179B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486901	
PI424180	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319451	
PI424181	43	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319452	
PI424182A	44.0;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486904	
PI424182B	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486903	
PI424182C	45.1;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486905	
PI424183	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319454	
PI424184	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319455	
PI424185	44.4;46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319456	
PI424186	45.3;47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319457	
PI424187	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319458	
PI424188A	47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486907	
PI424188B	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486906	
PI424189	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319460	
PI424190	40.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319461	
PI424191	39.9;42.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319462	
PI424192A	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486909	
PI424192B	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486908	
PI424193	39.9;41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319464	
PI424194	40.4;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319465	
PI424195A	40.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486911	
PI424195B	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486910	
PI424196	39.8;41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319467	
PI424197	40.6;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319468	
PI424198	40.4;44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319469	
PI424199	45.9;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319470	
PI424201	41.3;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319471	
PI424202	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319472	
PI424204	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319474	
PI424205	38.0;38.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319475	
PI424206	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319476	
PI424207	41.8;44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319477	
PI424208	41.8;42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319478	
PI424209	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319479	
PI424210	45.0;47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319480	
PI424211	42.1;44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319481	
PI424212	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319482	
PI424213	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319483	
PI424214A	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486914	
PI424214B	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486913	
PI424214C	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486912	
PI424215	44.9;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319485	
PI424216	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319486	
PI424217A	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486916	
PI424217B	42.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486915	
PI424218	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319488	
PI424219A	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486918	
PI424219B	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486917	
PI424220A	44.6;45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486920	
PI424220B	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486919	
PI424221A	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486922	
PI424221B	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486921	
PI424222A	46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486923	
PI424222B	45	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486925	
PI424222C	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486924	
PI424223	43.6;43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319493	
PI424224	44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319494	
PI424225	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319495	
PI424226	46.2;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319496	
PI424227A	44.1;44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486927	
PI424227B	42.3;43.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486926	
PI424228	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319498	
PI424229A	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486929	
PI424229B	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486928	
PI424230	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319500	
PI424231	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319501	
PI424232A	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486931	
PI424232B	41.3;44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486930	
PI424233	45.0;47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319503	
PI424234A	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486933	
PI424234B	42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486934	
PI424234C	45.7;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486932	
PI424235	43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319505	
PI424236	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319506	
PI424237A	42.1;43.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486935	
PI424237B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486936	
PI424238	43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319508	
PI424239	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319509	
PI424240	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319510	
PI424241	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319511	
PI424242	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319512	
PI424243	44.5;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319513	
PI424244	42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319514	
PI424245	42.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319515	
PI424246	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319516	
PI424247A	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486938	
PI424247B	47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486937	
PI424248	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319518	
PI424249A	44.9;46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486943	
PI424249B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486942	
PI424249C	46.5;47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486941	
PI424249D	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486940	
PI424249E	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486939	
PI424250A	39.8;42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486945	
PI424250B	42.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486944	
PI424251A	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486946	
PI424251B	46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486947	
PI424252	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319522	
PI424253	42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319523	
PI424254	42.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319524	
PI424255A	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486950	
PI424255B	45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486949	
PI424255C	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486948	
PI424256	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319526	
PI424257A	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486952	
PI424257B	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486951	
PI424258	47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319528	
PI424259	44.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319529	
PI424260	41.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319530	
PI424261	43.9;45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319531	
PI424262	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319532	
PI424263	43.1;45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319533	
PI424264	43.8;45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319534	
PI424265	48.3;48.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319535	
PI424266	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319536	
PI424267	42.4;43.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319537	
PI424268	44.7;45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319538	
PI424269A	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486953	
PI424269B	42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486955	
PI424269C	47.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486954	
PI424270A	44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486958	
PI424270B	43.3;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486957	
PI424270C	42.0;44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486956	
PI424271	42.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319541	
PI424272A	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486960	
PI424272B	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486959	
PI424273A	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486962	
PI424273B	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486961	
PI424274A	42.5;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486964	
PI424274B	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486963	
PI424275	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319545	
PI424276	42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319546	
PI424277A	43.3;44.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486966	
PI424277B	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486965	
PI424278A	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486968	
PI424278B	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486967	
PI424279	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319549	
PI424280	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319550	
PI424281A	43.9;48.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486970	
PI424281B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486969	
PI424282	44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319552	
PI424283	44.8;47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319553	
PI424284A	47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486972	
PI424284B	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486971	
PI424285A	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486976	
PI424285B	45.2;45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486975	
PI424285C	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486974	
PI424285D	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486973	
PI424286	49.3;49.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319556	
PI424287	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319557	
PI424288	40.4;43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319558	
PI424289	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319559	
PI424290	44.5;44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319560	
PI424291	43.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319561	
PI424292	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319562	
PI424293	46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319563	
PI424294A	47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486978	
PI424294B	47	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486977	
PI424294C	48.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486979	
PI424295	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319565	
PI424296A	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486981	
PI424296B	42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486980	
PI424296C	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486982	
PI424297	45.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319567	
PI424298	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319568	
PI424299A	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486984	
PI424299B	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486985	
PI424299C	40.3;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486983	
PI424300A	40.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486986	
PI424300B	45.4;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486987	
PI424301	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319571	
PI424302	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319572	
PI424303	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319573	
PI424304	53.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319574	
PI424305	46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319575	
PI424306	43.4;44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319576	
PI424307	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319577	
PI424308	46	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319578	
PI424309A	45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486989	
PI424309B	44.2;46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486988	
PI424310	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319580	
PI424311	44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319581	
PI424312	43	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319582	
PI424313	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319583	
PI424314	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319584	
PI424315	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319585	
PI424316	45.8;46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319586	
PI424317	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319587	
PI424318	44.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319588	
PI424319	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319589	
PI424320	41.9;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319590	
PI424321	46.0;49.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319591	
PI424322	42.0;42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319592	
PI424323	43.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319593	
PI424324A	43.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486990	
PI424324B	42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486991	
PI424325	50.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319595	
PI424326	44.6;45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319596	
PI424327	44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319597	
PI424328	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319598	
PI424329	42.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319599	
PI424330	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319600	
PI424331	42.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319601	
PI424332	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319602	
PI424333	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319603	
PI424334	47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319604	
PI424335A	45.9;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486993	
PI424335B	44.3;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486992	
PI424336	46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319606	
PI424337-1	43.7;44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486995	
PI424337-2	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486994	
PI424338	43.7;44.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319608	
PI424339	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319609	
PI424340A	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486997	
PI424340B	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486996	
PI424341	41.9;43.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319611	
PI424342A	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486999	
PI424342B	45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1486998	
PI424343	44.9;48.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319613	
PI424344	44	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319614	
PI424345	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319615	
PI424346	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319616	
PI424347A	46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487001	
PI424347B	45.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487000	
PI424348A	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487002	
PI424348B	42.3;44.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487003	
PI424348C	42.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487004	
PI424349A	46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487007	
PI424349B	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487006	
PI424349C	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487005	
PI424350	45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319620	
PI424351	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319621	
PI424352	43.3;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319622	
PI424353	44.0;44.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319623	
PI424354	41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319624	
PI424355	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319625	
PI424356	43.2;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319626	
PI424357A	43.3;46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487009	
PI424357B	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1487008	
PI424358	42.1;43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1319628	
