Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
CRR108833	24_P-17		24 P-17		
CRR108834	Century_Lx13		Century Lx13		
CRR108835	698-4		698-4		
CRR108836	KJ09-95		KJ09-95		
CRR108837	24_P-4		24 P-4		
CRR108838	24_P-26		24 P-26		
CRR108839	219-1-1		219-1-1		
CRR108840	Boige_Du_Lot_Et_Geronne		Boige Du Lot Et Geronne		
CRR108841	Lna		Lna		
CRR108842	BR121		BR121		
CRR108843	unknown_-1		unknown -1		
CRR108844	Parangonia		Parangonia		
CRR108845	He_Er_Song_No.2		He Er Song No.2		
CRR108846	ZK191		ZK191		
CRR108847	219-1-2		219-1-2		
CRR108848	Fas-2_From_Karen_Pudue		Fas-2 From Karen Pudue		
CRR108849	HP25		HP25		
CRR108850	Su165		Su165		
CRR108851	805		805		
CRR108852	K08-32		K08-32		
CRR108853	Payette		Payette		
CRR108854	95-13-20		95-13-20		
CRR108855	Mattawa		Mattawa		
CRR108856	0009-3-1		0009-3-1		
CRR108857	L67-3214		L67-3214		
CRR108858	8588		8588		
CRR108859	Frankin		Frankin		
CRR108860	K07-58		K07-58		
CRR108861	N66		N66		
CRR108862	34677		34677		
CRR108863	Mattosan		Mattosan		
CRR108864	Amcor89		Amcor89		
CRR108865	23_P-12		23 P-12		
CRR108866	K02-17		K02-17		
CRR108867	K08-33		K08-33		
CRR108868	K05-1-8		K05-1-8		
CRR108869	8033-28		8033-28		
CRR108870	Farrer		Farrer		
CRR108871	99-180y-92		99-180y-92		
CRR108872	OS2-1-4		OS2-1-4		
CRR108873	80543-76		80543-76		
CRR108874	01-14-18		01-14-18		
CRR108875	0001-19-2-1		0001-19-2-1		
CRR108876	E215		E215		
CRR108877	K14-2		K14-2		
CRR108878	K02-31		K02-31		
CRR108879	K112-1		K112-1		
CRR108880	N68		N68		
CRR108881	E223		E223		
CRR108882	MS_Core_Hybrid_Population		MS Core Hybrid Population		
CRR108883	2496163		2496163		
CRR108884	K07sp-1		K07sp-1		
CRR108885	K08-35		K08-35		
CRR108886	K04-13		K04-13		
CRR108887	K06-42		K06-42		
CRR108888	25p-26		25p-26		
CRR108889	B419		B419		
CRR108890	K07-116		K07-116		
CRR108891	K14-4		K14-4		
CRR108892	GY9112		GY9112		
CRR108893	K08-1-6		K08-1-6		
CRR108894	unknown_-2		unknown -2		
CRR108895	2100512		2100512		
CRR108896	K06-82		K06-82		
CRR108897	25_P-11		25 P-11		
CRR108898	Ihb-5		Ihb-5		
CRR108899	B510-10		B510-10		
CRR108900	K9103		K9103		
CRR108901	K06-47		K06-47		
CRR108902	26_P-28		26 P-28		
CRR108903	K05-126		K05-126		
CRR108904	K9110-2		K9110-2		
CRR108905	K070-2		K070-2		
CRR108906	Nf58		Nf58		
CRR108907	K06-28		K06-28		
CRR108908	K07-126		K07-126		
CRR108909	97-128		97-128		
CRR108910	K115-1		K115-1		
CRR108911	B207		B207		
CRR108912	KF34-1		KF34-1		
CRR108913	94-1-2-1		94-1-2-1		
CRR108914	K9452		K9452		
CRR108915	K9203		K9203		
CRR108916	K05-36		K05-36		
CRR108917	SP0601-0-11		SP0601-0-11		
CRR108918	K9304		K9304		
CRR108919	K05-7		K05-7		
