Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
SRR1533307	Ni_Ding_Hua_Mei_Dou	Ni_Ding_Hua_Mei_Dou	UN79		
SRR1533308	PI_84987A	PI84987A	PI84987A		
SRR1533309	PI_567395	PI567395	PI567395		
SRR1533310	PI_317334A	PI317334A	PI317334A		
SRR1533311	Xiao_Huang_Dou	Xiao_Huang_Dou	UN81		
SRR1533312	PI_548456	PI548456	PI548456		
SRR1533313	PI_603424A	PI603424A	PI603424A		
SRR1533314	PI_588053A	PI588053A	PI588053A		
SRR1533315	PI_594629	PI594629	PI594629		
SRR1533317	PI_83945-3	PI83945-3	PI83945-3		
SRR1533318	Jin_Huang_No_35	Jin_Huang_No_35	UN86		
SRR1533319	PI_567258	PI567258	PI567258		
SRR1533320	PI_404182	PI404182	PI404182		
SRR1533321	Nian_Shi_Huang_Dou	Nian_Shi_Huang_Dou	UN90		
SRR1533322	PI_86024	PI86024	PI86024		
SRR1533323	PI_567503	PI567503	PI567503		
SRR1533324	PI_317336	PI317336	PI317336		
SRR1533325	Xiao_Mi_Dou	Xiao_Mi_Dou	UN94		
SRR1533326	PI_594579	PI594579	PI594579		
SRR1533327	Xin_Xian_Xiao_Huang_Dou	Xin_Xian_Xiao_Huang_Dou	UN95		
SRR1533328	PI_253658B	PI253658B	PI253658B		
SRR1533329	PI_603516	PI603516	PI603516		
SRR1533330	PI_567071A	PI567071A	PI567071A		
SRR1533331	Dai_Mi_Dou	Dai_Mi_Dou	UN97		
SRR1533332	PI_567293	PI567293	PI567293		
SRR1533333	PI_407849	PI407849	PI407849		
SRR1533334	PI_548348	PI548348	PI548348		
SRR1533335	PI_407716	PI407716	PI407716		
SRR1533336	PI_89138	PI89138	PI89138		
SRR1533337	Cu_Dou	Cu_Dou	UN108		
SRR1533338	PI_417398	PI417398	PI417398		
SRR1533339	Hei_He_Xiao_Huang_Dou	Hei_He_Xiao_Huang_Dou	UN110		
SRR1533340	PI_594451	PI594451	PI594451		
SRR1533341	PI_243541	PI243541	PI243541		
SRR1533342	Hei_Wa_Shi_Dou	Hei_Wa_Shi_Dou	UN115		
SRR1533343	Bai_Lu_Dou	Bai_Lu_Dou	UN116		
SRR1533345	PI_548362	PI548362	PI548362		
SRR1533346	Jin_Da_No_70	Jin_Da_No_70	UN5		
SRR1533347	PI_591432	PI591432	PI591432		
SRR1533348	PI_591495	PI591495	PI591495		
SRR1533349	Jiu_Nong_No_30	Jiu_Nong_No_30	UN6		
SRR1533350	Liao_Dou_No_15	Liao_Dou_No_15	UN7		
SRR1533351	PI_548634	PI548634	PI548634		
SRR1533352	Jin_Da_No_62	Jin_Da_No_62	UN10		
SRR1533353	PI_547459	PI547459	PI547459		
SRR1533354	Su_Nong_No_25	Su_Nong_No_25	UN12		
SRR1533355	PI_547409	PI547409	PI547409		
SRR1533356	PI_553047	PI553047	PI553047		
SRR1533357	PI_547562	PI547562	PI547562		
SRR1533358	He_Dou_No_13	He_Dou_No_13	UN17		
SRR1533359	Zhong_Huang_No_14	Zhong_Huang_No_14	UN18		
SRR1533360	PI_591433	PI591433	PI591433		
SRR1533361	Gui_Chun_No_8	Gui_Chun_No_8	UN20		
SRR1533362	PI_533655	PI533655	PI533655		
SRR1533363	Dong_Nong_No_26	Dong_Nong_No_26	UN24		
SRR1533364	Jin_Da_No_75	Jin_Da_No_75	UN25		
SRR1533365	PI_548638	PI548638	PI548638		
SRR1533366	PI_547460	PI547460	PI547460		
SRR1533367	Shen_Li_No_3	Shen_Li_No_3	UN28		
SRR1533368	Jin_Da_No_26	Jin_Da_No_26	UN29		
SRR1533369	PI_518750	PI518750	PI518750		
SRR1533370	Chang_Nong_No_13	Chang_Nong_No_13	UN31		
SRR1533371	PI_548540	PI548540	PI548540		
SRR1533372	Liao_Dou_No_17	Liao_Dou_No_17	UN33		
SRR1533373	PI_540552	PI540552	PI540552		
SRR1533374	PI_547686	PI547686	PI547686		
SRR1533375	PI_548644	PI548644	PI548644		
SRR1533376	PI_547488	PI547488	PI547488		
SRR1533377	He_Feng_No_25	He_Feng_No_25	UN37		
SRR1533378	PI_548311	PI548311	PI548311		
SRR1533380	Jin_Da_No_73	Jin_Da_No_73	UN40		
SRR1533381	PI_591435	PI591435	PI591435		
SRR1533382	Zhong_Huang_No_50	Zhong_Huang_No_50	UN41		
SRR1533383	Nan_Nong_Cai_Dou_No_1	Nan_Nong_Cai_Dou_No_1	UN43		
SRR1533384	PI_548512	PI548512	PI548512		
SRR1533385	PI_547690	PI547690	PI547690		
SRR1533386	PI_548182	PI548182	PI548182		
SRR1533387	PI_515961	PI515961	PI515961		
SRR1533388	PI_548190	PI548190	PI548190		
SRR1533389	PI_548643	PI548643	PI548643		
SRR1533390	Zhong_Huang_No_38	Zhong_Huang_No_38	UN46		
SRR1533391	Beijing-IGDB-1	Beijing-IGDB-1	UN47		
SRR1533392	Zhong_Huang_No_13	Zhong_Huang_No_13	UN48		
SRR1533393	Chang_Nong_No_16	Chang_Nong_No_16	UN49		
SRR1533395	PI_548631	PI548631	PI548631		
SRR1533396	PI_547779	PI547779	PI547779		
SRR1533397	Hei_Nong_No_51	Hei_Nong_No_51	UN52		
SRR1533398	Lu_Dou_No_11	Lu_Dou_No_11	UN57		
SRR1533399	Tai_Wan_No_1	Tai_Wan_No_1	UN58		
SRR1533400	Ji_Yu_No_90	Ji_Yu_No_90	UN59		
SRR1533401	Fen_Dou_No_65	Fen_Dou_No_65	UN61		
SRR1533402	PI_548565	PI548565	PI548565		
SRR1533403	Fen_Dou_No_78	Fen_Dou_No_78	UN66		
SRR1533404	PI_548603	PI548603	PI548603		
SRR1533405	PI_508266	PI508266	PI508266		
SRR1533406	Sheng_Dou_No_9	Sheng_Dou_No_9	UN67		
SRR1533407	Zhong_Huang_No_40	Zhong_Huang_No_40	UN68		
SRR1533408	PI_547716	PI547716	PI547716		
SRR1533409	PI_546044	PI546044	PI546044		
SRR1533410	Zhong_Huang_No_35	Zhong_Huang_No_35	UN70		
SRR1533411	Harbin_91-6065	Harbin_91-6065	UN71		
SRR1533412	Chang_Nong_No_15	Chang_Nong_No_15	UN72		
SRR1533413	Jilin_21	Jilin_21	UN74		
SRR1533415	PI_548573	PI548573	PI548573		
SRR1533416	Fen_Dou_No_85	Fen_Dou_No_85	UN77		
SRR1533417	PI_548604	PI548604	PI548604		
SRR1533418	Hei_He_No_1	Hei_He_No_1	UN78		
SRR1533419	PI_533602	PI533602	PI533602		
SRR1533420	Xi_Zang_Da_Dou_No_20	Xi_Zang_Da_Dou_No_20	UN82		
SRR1533421	Cang_Dou-11	Cang_Dou-11	UN83		
SRR1533422	Liao_Dou_No_11	Liao_Dou_No_11	UN85		
SRR1533423	PI_536635	PI536635	PI536635		
SRR1533424	Dong_Nong_No_52	Dong_Nong_No_52	UN87		
SRR1533425	Fen_Dou_No_86	Fen_Dou_No_86	UN88		
SRR1533426	PI_508083	PI508083	PI508083		
SRR1533427	PI_591541	PI591541	PI591541		
SRR1533428	Su_Nong_No_10	Su_Nong_No_10	UN89		
SRR1533429	PI_548593	PI548593	PI548593		
SRR1533430	Wei_No_6823	Wei_No_6823	UN93		
SRR1533431	Su_Nong_No_33	Su_Nong_No_33	UN96		
SRR1533432	PI_634883	PI634883	PI634883		
SRR1533433	Fen_Dou_No_79	Fen_Dou_No_79	UN98		
SRR1533435	He_Feng_No_23	He_Feng_No_23	UN100		
SRR1533436	PI_591511	PI591511	PI591511		
SRR1533437	Fen_Dou_No_88	Fen_Dou_No_88	UN101		
SRR1533438	PI_513382	PI513382	PI513382		
SRR1533439	Liao_Dou_No_3	Liao_Dou_No_3	UN104		
SRR1533441	PI_548985	PI548985	PI548985		
SRR1533442	PI_548477	PI548477	PI548477		
SRR1533443	Su_Nong_No_14	Su_Nong_No_14	UN105		
SRR1533444	PI_547680	PI547680	PI547680		
SRR1533445	Zhong_Huang_No_31	Zhong_Huang_No_31	UN106		
SRR1533446	PI_591431	PI591431	PI591431		
SRR1533447	Dong_Nong_No_51	Dong_Nong_No_51	UN107		
SRR1533449	Shu_Xian_No_205	Shu_Xian_No_205	UN109		
SRR1533450	Fen_Dou_No_89	Fen_Dou_No_89	UN111		
SRR1533451	PI_542403	PI542403	PI542403		
SRR1533452	Fen_Dou_No_63	Fen_Dou_No_63	UN112		
SRR1533453	Tie_Feng_No_22	Tie_Feng_No_22	UN114		
USB-001	USB-001_PI548656	PI548656	Lee		
USB-002	USB-002_FC033243	FC33243	Anderson		
USB-003	USB-003_PI081785	PI81785	Chusei Hadaka		
USB-004	USB-004_PI166105	PI166105	Bhart		
USB-005	USB-005_PI180501	PI180501	Strain No. 18		
USB-006	USB-006_PI240664	PI240664	Bilomi No. 3		
USB-007	USB-007_PI266806C	PI266806C	No. 4		
USB-009	USB-009_PI360957	PI360957	Karafuto No. 1		
USB-010	USB-010_PI361087	PI361087	Medias 23		
USB-011	USB-011_PI361093	PI361093	Novosadska Br. 1		
USB-012	USB-012_PI437265D	PI437265D	(Dobruzanca D)		
USB-013	USB-013_PI438335	PI438335	SAO 196-C		
USB-014	USB-014_PI468908	PI468908			
USB-015	USB-015_PI497964A	PI497964A	I.C. 9461		
USB-016	USB-016_PI506862	PI506862			
USB-017	USB-017_PI507180	PI507180	Rikuu 21		
USB-018	USB-018_PI518668	PI518668	TN 4-86		
USB-020	USB-020_PI603458A	PI603458A	Shui dou		
USB-021	USB-021_PI548171	PI548171			
USB-022	USB-022_PI548193	PI548193	T201		
USB-023	USB-023_PI548313	PI548313			
USB-024	USB-024_PI548325	PI548325	Flambeau		
USB-025	USB-025_PI548360	PI548360	Korean		
USB-026	USB-026_PI548364	PI548364	Macoupin		
USB-027	USB-027_PI548402	PI548402			
USB-028	USB-028_PI548447	PI548447	Cherokee		
USB-029	USB-029_PI548452	PI548452	Dixie		
USB-031	USB-031_PI548490	PI548490	Tanner		
USB-032	USB-032_PI548520	PI548520	Preston		
USB-033	USB-033_PI548561	PI548561	Hodgson		
USB-035	USB-035_PI549018	PI549018	ZYD 3939		
USB-036	USB-036_PI549026	PI549026	Gao li huang		
USB-037	USB-037_PI549041A	PI549041A	ZYD 2709		
USB-038	USB-038_PI559932	PI559932	Manokin		
USB-039	USB-039_PI567171	PI567171	Hei he No. 1		
USB-040	USB-040_PI567426	PI567426	Bai huang dou		
USB-041	USB-041_PI567558	PI567558	Liu shi ri jin huang da dou		
USB-042	USB-042_PI567604A	PI567604A	Xin huang dou		
USB-043	USB-043_PI578309	PI578309	I-64		
USB-044	USB-044_PI578495	PI578495	Jin dou No. 4		
USB-045	USB-045_PI592523	PI592523	Glacier		
USB-046	USB-046_PI592954	PI592954	Nin zhen No. 1		
USB-047	USB-047_PI594307	PI594307	Tsurusengoku		
USB-048	USB-048_PI597476	PI597476	Deogyukong		
USB-049	USB-049_PI603426G	PI603426G	Ben di yuan huang dou		
USB-050	USB-050_PI603442	PI603442	Ke qi xiao hei dou		
USB-052	USB-052_PI088788	PI88788			
USB-053	USB-053_PI089772	PI89772			
USB-054	USB-054_PI090763	PI90763			
USB-055	USB-055_PI209332	PI209332			
USB-057	USB-057_PI548316	PI548316			
USB-058	USB-058_PI548658	PI548658			
USB-059	USB-059_FC029333	FC29333	Laredo		
USB-060	USB-060_FC031697	FC31697			
USB-061	USB-061_PI054591	PI54591	No. 31		
USB-062	USB-062_PI054608_1	PI54608-1	No. 48		
USB-063	USB-063_PI054614	PI54614	No. 54		
USB-064	USB-064_PI054615_1	PI54615-1	No. 55		
USB-065	USB-065_PI058955	PI58955	Common Yellow Variety		
USB-066	USB-066_PI062203	PI62203	937		
USB-067	USB-067_PI068521_1	PI68521-1	205		
USB-068	USB-068_PI068604_1	PI68604-1	285		
USB-069	USB-069_PI068732_1	PI68732-1	204		
USB-070	USB-070_PI070080	PI70080	6908		
USB-071	USB-071_PI070466_3	PI70466-3	7336		
USB-072	USB-072_PI071465	PI71465	No. 33		
USB-073	USB-073_PI080837	PI80837	Mejiro		
USB-074	USB-074_PI081041	PI81041	Kuro Daizu		
USB-075	USB-075_PI083881	PI83881	Orukon		
USB-076	USB-076_PI083942	PI83942	Kuro churyu		
USB-077	USB-077_PI084631	PI84631	S-56		
USB-078	USB-078_PI084637	PI84637	S-62		
USB-079	USB-079_PI084656	PI84656	S-81		
USB-080	USB-080_PI084946_2	PI84946-2	(Kandokon)		
USB-081	USB-081_PI084973	PI84973	Takiya		
USB-084	USB-084_PI086904	PI86904	Fukota		
USB-085	USB-085_PI086972_2	PI86972-2	(Pakute)		
USB-086	USB-086_PI087620	PI87620	Kuromeshoryu		
USB-087	USB-087_PI088313	PI88313	5702		
USB-088	USB-088_PI088468	PI88468	Iganzu		
USB-089	USB-089_PI089005_5	PI89005-5	5950		
USB-090	USB-090_PI089775	PI89775	7221		
USB-091	USB-091_PI090479P	PI90479P	7413		
USB-093	USB-093_PI091100_3	PI91100-3	6554		
USB-094	USB-094_PI091159_4	PI91159-4	6614		
USB-095	USB-095_PI091160	PI91160	6615		
USB-096	USB-096_PI092651	PI92651	7846		
USB-097	USB-097_PI094159_3	PI94159-3	(Kiizaya)		
USB-098	USB-098_PI095860	PI95860	155		
USB-100	USB-100_PI103088	PI103088	Ming Chuan		
USB-101	USB-101_PI123440	PI123440	No. 2		
USB-102	USB-102_PI153231	PI153231	B-63		
USB-104	USB-104_PI154189	PI154189	No. 57		
USB-106	USB-106_PI159925	PI159925	Glycine H		
USB-107	USB-107_PI165563	PI165563	Bhart		
USB-108	USB-108_PI165675	PI165675	Nanking 332		
USB-109	USB-109_PI171428	PI171428	Large Yellow Soybean		
USB-110	USB-110_PI171451	PI171451	Kosamame		
USB-112	USB-112_PI179935	PI179935	Bhart		
USB-113	USB-113_PI189873	PI189873	Miko Saumon		
USB-115	USB-115_PI209333	PI209333	No. 3		
USB-116	USB-116_PI209334	PI209334	No. 9		
USB-117	USB-117_PI232992	PI232992	Kono-Kuradaizu		
USB-119	USB-119_PI253661B	PI253661B	No. 12		
USB-120	USB-120_PI261272C	PI261272C	(Tua Nao)		
USB-121	USB-121_PI274453	PI274453			
USB-122	USB-122_PI291294	PI291294			
USB-123	USB-123_PI291309D	PI291309D			
USB-124	USB-124_PI291310C	PI291310C			
USB-125	USB-125_PI297505	PI297505	Czi ti No. 5		
USB-126	USB-126_PI297520	PI297520	Iregi Universal		
USB-127	USB-127_PI324924	PI324924	Rhosa		
USB-128	USB-128_PI342434	PI342434			
USB-129	USB-129_PI342619A	PI342619A			
USB-131	USB-131_PI361066B	PI361066B	(F. 56-17)		
USB-132	USB-132_PI361070	PI361070	Faur		
USB-133	USB-133_PI361080	PI361080	Kormovaia 15		
USB-134	USB-134_PI372403B	PI372403B	(Caloria)		
USB-135	USB-135_PI372418	PI372418	Novosadska Br. 4		
USB-136	USB-136_PI374207	PI374207	N-9		
USB-139	USB-139_PI378658	PI378658	Dnepropetrovsk 12		
USB-140	USB-140_PI378663	PI378663	Habarovskaja II		
USB-141	USB-141_PI378680E	PI378680E	(VNIIMK 9186)		
USB-143	USB-143_PI379618	PI379618	TC 1		
USB-144	USB-144_PI391577	PI391577	Ch'a ye sheng tou		
USB-145	USB-145_PI391583	PI391583	Jilin No. 10		
USB-146	USB-146_PI398633	PI398633	KAS 390-17-2		
USB-147	USB-147_PI398965	PI398965	KLS 628-1		
USB-148	USB-148_PI404187	PI404187	Suj nii hun mao ju		
USB-149	USB-149_PI407701	PI407701	Hei long No. 3		
USB-150	USB-150_PI407708A	PI407708A	Feng shou No. 10		
USB-151	USB-151_PI407742	PI407742	16		
USB-152	USB-152_PI416751	PI416751	A-B(D)		
USB-153	USB-153_PI416838	PI416838	Choutan		
USB-154	USB-154_PI417215	PI417215	Ooita Aki Daizu 2		
USB-155	USB-155_PI417242	PI417242	Pekin dai seitou		
USB-156	USB-156_PI417345B	PI417345B	(Shou outou)		
USB-157	USB-157_PI417381	PI417381	Tenpoku shirome		
USB-158	USB-158_PI417479	PI417479	Yougetsu		
USB-159	USB-159_PI417500	PI417500	Escura A		
USB-160	USB-160_PI417529	PI417529	A38		
USB-161	USB-161_PI417581	PI417581	H-060072		
USB-162	USB-162_PI423926	PI423926	Tousan 72		
USB-163	USB-163_PI424038B	PI424038B	74053		
USB-164	USB-164_PI424078	PI424078			
USB-166	USB-166_PI424195A	PI424195A	ISZ-3		
USB-167	USB-167_PI430595	PI430595	58-161		
USB-168	USB-168_PI436684	PI436684	Tie-feng 8		
USB-169	USB-169_PI437110A	PI437110A	VIR 244		
USB-170	USB-170_PI437112A	PI437112A	VIR 249		
USB-171	USB-171_PI437127A	PI437127A	Imeretinscaja		
USB-173	USB-173_PI437160	PI437160	Krasnodarscaja 13		
USB-174	USB-174_PI437165A	PI437165A	Toncostebel'naja 27		
USB-175	USB-175_PI437240	PI437240	CSchi 1069		
USB-177	USB-177_PI437376A	PI437376A	Ussurijscaja 308		
USB-178	USB-178_PI437485	PI437485	VIR 1048		
USB-179	USB-179_PI437500A	PI437500A	VIR 3810		
USB-180	USB-180_PI437505	PI437505	VIR 3853		
USB-182	USB-182_PI437662	PI437662	Gun'-tszu-lin' 658		
USB-183	USB-183_PI437685D	PI437685D	(Phun-zhun)		
USB-184	USB-184_PI437695A	PI437695A	S-185		
USB-185	USB-185_PI437776	PI437776	VIR 1302		
USB-186	USB-186_PI437788A	PI437788A	VIR 3018		
USB-187	USB-187_PI437793	PI437793	VIR 3024		
USB-188	USB-188_PI437814A	PI437814A	An'da		
USB-189	USB-189_PI437838	PI437838	DV-254		
USB-192	USB-192_PI437991B	PI437991B	VIR 1657		
USB-193	USB-193_PI438019B	PI438019B	VIR 1883		
USB-195	USB-195_PI438083	PI438083	VIR 2506		
USB-196	USB-196_PI438112B	PI438112B	VIR 2623		
USB-198	USB-198_PI438230A	PI438230A	VIR 4521		
USB-199	USB-199_PI438239B	PI438239B	VIR 4536		
USB-201	USB-201_PI438309	PI438309	VIR 3017		
USB-202	USB-202_PI438323	PI438323	Grignon 53-F-3		
USB-203	USB-203_PI438336	PI438336	Sao 208		
USB-204	USB-204_PI438347	PI438347	35S.277		
USB-206	USB-206_PI438496B	PI438496B	(Peking)		
USB-207	USB-207_PI438496C	PI438496C	(Peking)		
USB-208	USB-208_PI438500	PI438500	Virginia		
USB-209	USB-209_PI445824A	PI445824A	Wolfsthaler		
USB-210	USB-210_PI458505	PI458505	Da Bai mei		
USB-212	USB-212_PI458510	PI458510	Ji Ti No. 1		
USB-213	USB-213_PI464896	PI464896	Jou Nong No. 5		
USB-214	USB-214_PI464912	PI464912	Dan Dou 1		
USB-215	USB-215_PI464923	PI464923	Tie Fen 16		
USB-216	USB-216_PI467347	PI467347	Zi-hua-cuo-zi		
USB-217	USB-217_PI468408B	PI468408B	(Qi Huang No. 1)		
USB-218	USB-218_PI475820	PI475820			
USB-220	USB-220_PI476352B	PI476352B	(Colnon)		
USB-221	USB-221_PI479735	PI479735	Silihuang		
USB-222	USB-222_PI490766	PI490766	Dawudou		
USB-223	USB-223_PI495020	PI495020	Xu dou 2		
USB-224	USB-224_PI497953	PI497953	I.C. 192		
USB-226	USB-226_PI497967	PI497967	PLSO 96		
USB-227	USB-227_PI504288	PI504288	S		
USB-228	USB-228_PI506933	PI506933	Kouiku 1		
USB-229	USB-229_PI506942	PI506942	Koushurei 235		
USB-230	USB-230_PI507017	PI507017	Madara ooha tsuru mame		
USB-232	USB-232_PI507088	PI507088	Nattou Kotsubu		
USB-233	USB-233_PI507293B	PI507293B	(Shoukin ou)		
USB-234	USB-234_PI507458	PI507458	Tousan kei BL 521		
USB-235	USB-235_PI507467	PI507467	Tousan kei F 764		
USB-236	USB-236_PI507471	PI507471	Tousan kei na 16		
USB-238	USB-238_PI507480	PI507480	Tousan kei YL 24		
USB-240	USB-240_PI514671	PI514671	Feng shou No. 7		
USB-241	USB-241_PI518727	PI518727	Ju huang		
USB-242	USB-242_PI532463B	PI532463B	(He bei No. 1)		
USB-245	USB-245_PI538386A	PI538386A	1886		
USB-248	USB-248_PI542972	PI542972	H7190		
USB-249	USB-249_PI548162	PI548162	T48		
USB-250	USB-250_PI548169	PI548169	T117		
USB-251	USB-251_PI548178	PI548178	T145		
USB-252	USB-252_PI548198	PI548198	T209		
USB-253	USB-253_PI548200	PI548200	T211H		
USB-254	USB-254_PI548256	PI548256	T279		
USB-255	USB-255_PI548336	PI548336	Habaro		
USB-256	USB-256_PI548356	PI548356	Kanro		
USB-257	USB-257_PI548359	PI548359	Kingwa		
USB-258	USB-258_PI548383	PI548383	Mansoy		
USB-259	USB-259_PI548400	PI548400	Patoka		
USB-260	USB-260_PI548411	PI548411	Seneca		
USB-261	USB-261_PI548427	PI548427	Wilson		
USB-262	USB-262_PI548473	PI548473	Monetta		
USB-263	USB-263_PI548474	PI548474	Nanda		
USB-264	USB-264_PI548479	PI548479	Otootan		
USB-265	USB-265_PI548521	PI548521	BSR 201		
USB-268	USB-268_PI548571	PI548571	Harlon		
USB-269	USB-269_PI548572	PI548572	Harly		
USB-270	USB-270_PI548582	PI548582	McCall		
USB-271	USB-271_PI548619	PI548619	Sparks		
USB-272	USB-272_PI548633	PI548633	Wye		
USB-274	USB-274_PI548696	PI548696	Dortchsoy 67		
USB-276	USB-276_PI548978	PI548978	Gail		
USB-277	USB-277_PI549017	PI549017	ZYD 3938		
USB-278	USB-278_PI549021A	PI549021A	Na hei dou		
USB-279	USB-279_PI549028	PI549028	Feng da li		
USB-281	USB-281_PI549040	PI549040	ZYD 2704		
USB-282	USB-282_PI556511	PI556511	A3127		
USB-283	USB-283_PI561318A	PI561318A	Hui nan bai hua xiao hei dou		
USB-284	USB-284_PI561371	PI561371	Fen dou 15		
USB-285	USB-285_PI561387	PI561387	Kosuzu		
USB-286	USB-286_PI561389B	PI561389B	(Okura Natto)		
USB-287	USB-287_PI561701	PI561701	G88-20092		
USB-290	USB-290_PI567074B	PI567074B	MARIF 2672		
USB-291	USB-291_PI567173	PI567173	Hei he 51		
USB-293	USB-293_PI567225	PI567225	Kisinevskaja 90		
USB-294	USB-294_PI567226	PI567226	Har'kovskaja Zernoukosnaja		
USB-295	USB-295_PI567231	PI567231	WJK-PRC-46		
USB-296	USB-296_PI567238	PI567238	W6 6210		
USB-297	USB-297_PI567262A	PI567262A	Similar to: Gu tian type		
USB-298	USB-298_PI567307	PI567307	Hei huang dou		
USB-300	USB-300_PI567343	PI567343			
USB-301	USB-301_PI567346	PI567346	Niu mao huang dou		
USB-302	USB-302_PI567352A	PI567352A	Yang yan qing dou		
USB-303	USB-303_PI567353	PI567353	Yang yan ren dou		
USB-304	USB-304_PI567361	PI567361	Lu fang huang dou		
USB-305	USB-305_PI567383	PI567383			
USB-306	USB-306_PI567407	PI567407	Xiao dou		
USB-307	USB-307_PI567408	PI567408	Xiao jin huang		
USB-308	USB-308_PI567410B	PI567410B	(Yang huang dou)		
USB-309	USB-309_PI567415A	PI567415A	Bai da huang dou		
USB-310	USB-310_PI567416	PI567416	Bai dou		
USB-311	USB-311_PI567418A	PI567418A	Bai hei dou		
USB-312	USB-312_PI567428	PI567428	Bai ji yao		
USB-313	USB-313_PI567435B	PI567435B	(Hei hei dou)		
USB-314	USB-314_PI567439	PI567439	Hong jia huang dou		
USB-315	USB-315_PI567488A	PI567488A	Di liu huang dou No. 2		
USB-316	USB-316_PI567489A	PI567489A	Er da li huang dou		
USB-317	USB-317_PI567525	PI567525	Cao qing huang dou		
USB-318	USB-318_PI567532	PI567532	Dai ye xiao huang dou		
USB-319	USB-319_PI567548	PI567548	Hua li hu zi		
USB-320	USB-320_PI567576	PI567576	Ping ding huang		
USB-322	USB-322_PI567675	PI567675	Yu cheng xiao tie jiao huang		
USB-323	USB-323_PI567685	PI567685	Zhong mou tie jiao er cao		
USB-324	USB-324_PI567698A	PI567698A	Fu yang (17)		
USB-325	USB-325_PI567726	PI567726	Fu yang (50)		
USB-326	USB-326_PI567746	PI567746	Pei xian da bai jiao		
USB-327	USB-327_PI567780B	PI567780B	(Tong shan zheng ji dou)		
USB-328	USB-328_PI567782	PI567782	OAC Dorado		
USB-330	USB-330_PI574477	PI574477	Fen dou 31		
USB-331	USB-331_PI578375B	PI578375B	(Aan tu dang di hei dou)		
USB-332	USB-332_PI578412	PI578412	Gong jiao 6308-1		
USB-333	USB-333_PI578493	PI578493	Huang bao zhu		
USB-334	USB-334_PI578499A	PI578499A	Lu yue bai		
USB-335	USB-335_PI578503	PI578503	Tie jia si li huang		
USB-336	USB-336_PI578504	PI578504	Xiang dou No. 3		
USB-338	USB-338_PI587588A	PI587588A	Tai xing niu mao huang yi		
USB-339	USB-339_PI587588B	PI587588B	(Tai xing niu mao huang yi)		
USB-341	USB-341_PI587712B	PI587712B	(E dou No. 1)		
USB-342	USB-342_PI587804	PI587804	Jing 789		
USB-343	USB-343_PI587811A	PI587811A	ZDD005777		
USB-345	USB-345_PI592937	PI592937	Jin dou 14		
USB-346	USB-346_PI592940	PI592940	Jin dou 17		
USB-347	USB-347_PI592952	PI592952	Zheng 77249		
USB-348	USB-348_PI592960	PI592960	Dong nong 38		
USB-351	USB-351_PI593953	PI593953	Sui nong No. 10		
USB-353	USB-353_PI594170B	PI594170B	(Geden shirazu)		
USB-354	USB-354_PI594456A	PI594456A	Xiao jin huang		
USB-357	USB-357_PI594880	PI594880	Song zi dou		
USB-358	USB-358_PI594922	PI594922	Graham		
USB-361	USB-361_PI597464	PI597464	Zhe chun No. 3		
USB-362	USB-362_PI597471A	PI597471A	Zheye 29		
USB-363	USB-363_PI597478B	PI597478B	(Paldalkong)		
USB-364	USB-364_PI598358	PI598358	TN 5-95		
USB-366	USB-366_PI602502B	PI602502B	(Xiong yue xiao huang dou)		
USB-367	USB-367_PI602993	PI602993	Pi xian ruan tiao zhi		
USB-368	USB-368_PI603162	PI603162	GL 2631 /96		
USB-369	USB-369_PI603290	PI603290	Zao shu 18		
USB-370	USB-370_PI603345	PI603345	ZDD00403		
USB-371	USB-371_PI603389	PI603389	Huang ke		
USB-372	USB-372_PI603397	PI603397	Hei qi huang da dou		
USB-373	USB-373_PI603399	PI603399	Xiao bai qi		
USB-374	USB-374_PI603463	PI603463	Dong jie No. 1		
USB-375	USB-375_PI603488	PI603488	ZDD19294		
USB-376	USB-376_PI603492	PI603492	Qi hei dou		
USB-377	USB-377_PI603494	PI603494	Hai dou zi		
USB-378	USB-378_PI603495B	PI603495B	(Hong mi lan dou zi)		
USB-379	USB-379_PI603497	PI603497			
USB-381	USB-381_PI603526	PI603526	Hei you dou		
USB-382	USB-382_PI603549	PI603549	Mei dou		
USB-383	USB-383_PI603555	PI603555	Hua da hei dou		
USB-384	USB-384_PI603556	PI603556	ZDD08563		
USB-385	USB-385_PI603559	PI603559	ZDD08590		
USB-386	USB-386_PI603675	PI603675	Huai yin gua dou jia		
USB-387	USB-387_PI603698J	PI603698J	(Dan yang shui bai dou)		
USB-388	USB-388_PI603722	PI603722	Nan chong ba yue huang		
USB-389	USB-389_PI605765B	PI605765B	(Ninh minh)		
USB-390	USB-390_PI606374	PI606374	Cao bang 8		
USB-392	USB-392_PI612730	PI612730	Zhong huong No. 10		
USB-393	USB-393_PI612754	PI612754	ZY 645		
USB-395	USB-395_PI628812	PI628812	MG/BR-46 (Conquista)		
USB-396	USB-396_PI628913	PI628913	BR-30		
USB-398	USB-398_PI628963	PI628963	La Suprema		
USB-399	USB-399_PI631123	PI631123	TW98-1		
USB-400	USB-400_PI632418	PI632418	Tara		
USB-401	USB-401_PI632650	PI632650	DT 22		
USB-402	USB-402_PI639528B	PI639528B	VIR 233		
USB-403	USB-403_PI639543	PI639543	VIR 3715		
USB-404	USB-404_PI639550E	PI639550E	(KSHI 713)		
